강릉	 	10.9	 	 	25.3	18.7	74	 	67	동	8.6	1023.9
강진군	구름많음	16.5	7	7	26.5	16.7	74	 	55	동	12.6	1022.0
강화	구름많음	20 이상	7	7	26.8	14.5	74	 	47	동남동	9.4	1023.2
거제	 	20 이상	 	 	26.6	20.4	76	 	69	동남동	12.6	1022.6
거창	 	20 이상	 	 	24.4	15.5	72	 	58	동남동	7.9	1021.5
경주시	 	20 이상	 	 	26.4	19.7	76	 	67	북북동	11.9	1023.8
고산	 	19.9	 	 	28.4	19.3	77	 	58	남	22	1019.5
고창	 	 	 	 	25.0	16.4	73	 	59	동남동	6.1	1022.4
고창군	 	20 이상	 	 	24.6	17.0	73	 	63	북	9	1021.7
고흥	 	19.2	 	 	25.4	17.3	73	 	61	남동	7.9	1021.6
광양시	 	14.0	 	 	27.2	16.4	75	 	52	동북동	9.4	1022.0
광주	구름많음	20 이상	8	8	25.9	16.4	74	 	56	동남동	2.9	1021.9
구미	 	20 이상	 	 	24.5	19.9	74	 	76	북동	2.5	1023.5
군산	 	 	 	 	23.1	16.3	71	 	66	북	3.2	1022.6
금산	 	19.9	 	 	23.4	15.4	71	 	61	동남동	7.2	1022.7
김해시	 	10.6	 	 	27.2	17.6	75	 	56	남동	8.3	1022.9
남원	 	20 이상	 	 	26.2	15.8	74	 	53	북북서	5.4	1021.6
남해	 	20 이상	 	 	26.0	17.6	74	 	60	북동	5	1022.4
대관령	흐림	20 이상	10	9	22.5	11.2	68	 	49	동남동	7.6	1022.1
대구	구름많음	20 이상	7	3	26.7	16.0	74	 	52	동	14	1022.8
대전	구름많음	20 이상	8	3	24.4	18.3	73	 	69	북동	11.2	1023.3
동두천	 	20 이상	 	 	26.4	17.4	75	 	58	북	4	1023.4
동해	 	20 이상	 	 	21.6	17.7	69	 	79	남남동	11.9	1024.2
목포	구름많음	19.6	8	8	26.2	17.2	74	 	58	북동	7.9	1021.9
문경	 	20 이상	 	 	23.1	17.0	71	 	69	동남동	8.3	1023.9
밀양	 	19.8	 	 	28.7	11.7	74	 	35	남	7.9	1022.3
백령도	구름많음	20 이상	6	0	23.7	13.5	70	 	53	남남동	6.8	1022.1
보령	 	20 이상	 	 	23.7	14.6	71	 	57	남남서	4	1022.1
보성군	구름많음	11.8	6	0	26.3	17.6	75	 	59	남동	10.4	1022.2
보은	 	20 이상	 	 	23.1	16.3	71	 	66	북북동	13	1023.0
봉화	 	20 이상	 	 	24.5	15.6	72	 	58	남남서	4.3	1023.2
부산	구름조금	19.7	3	3	27.1	18.6	76	 	60	동	12.2	1022.6
부안	 	20 이상	 	 	24.8	15.1	72	 	55	북북동	7.6	1022.6
부여	 	19.2	 	 	24.7	15.8	72	 	58	동	5.4	1023.1
북강릉	흐림	20 이상	9	0	23.4	18.2	72	 	73	동남동	6.8	1023.3
북창원	 	20 이상	 	 	25.7	17.0	74	 	59	동	9	1022.2
북춘천	구름많음	20 이상	6	0	25.8	17.9	74	 	62	북북서	2.2	1023.4
산청	 	20 이상	 	 	26.4	16.3	74	 	54	북북동	5	1022.0
상주	 	14.8	 	 	23.6	18.4	72	 	73	동	3.2	1023.8
서귀포	구름조금	20 이상	3	3	26.5	24.1	78	0.1	87	동북동	8.6	1020.4
서산	 	20 이상	 	 	25.0	15.6	72	 	56	동	8.6	1022.9
서울	구름많음	20 이상	7	0	28.6	11.1	74	 	34	북북서	7.9	1022.5
성산	 	20 이상	 	 	25.5	21.1	75	0.0	77	북	15.5	1021.1
속초	 	20 이상	 	 	22.7	18.4	71	 	77	남동	11.9	1023.9
수원	구름많음	20 이상	8	0	26.2	15.5	74	 	52	남동	12.2	1023.2
순창군	 	10.0	 	 	26.0	16.8	74	 	57	북서	2.2	1022.0
순천	 	18.6	 	 	26.3	16.2	74	 	54	남남동	7.2	1021.2
안동	흐림	20 이상	9	7	24.0	16.7	72	 	64	동	6.5	1024.0
양산시	 	16.9	 	 	27.2	18.2	76	 	58	동	14	1023.8
양평	 	20 이상	 	 	25.3	15.3	73	 	54	남서	6.8	1023.3
여수	구름조금	20 이상	3	3	25.3	17.9	74	 	64	동	5.4	1021.9
영광군	 	20 이상	 	 	25.3	17.4	73	 	62	 	2.5	1022.4
영덕	 	20 이상	 	 	24.1	18.9	73	 	73	북북동	10.8	1024.5
영월	 	20 이상	 	 	24.6	13.1	71	 	49	서	3.6	1023.1
영주	 	19.7	 	 	23.6	13.4	70	 	53	남동	4	1023.6
영천	 	20 이상	 	 	26.0	17.0	74	 	58	동	11.9	1023.4
완도	 	 	 	 	25.9	19.2	75	 	67	동남동	19.4	1021.6
울릉도	흐림	20 이상	9	0	22.6	16.8	70	 	70	남서	2.2	1025.2
울산	구름많음	19.6	6	6	24.2	19.4	73	 	75	동북동	9.7	1023.5
울진	 	20 이상	 	 	22.4	18.3	71	 	78	동	5.4	1024.9
원주	 	20 이상	 	 	24.8	13.0	71	 	48	정온	1.4	1023.2
의령군	구름조금	14.7	5	2	27.2	17.3	75	 	55	북동	8.3	1022.3
의성	 	20 이상	 	 	25.8	17.9	74	 	62	북북동	5.8	1023.4
이천	 	17.1	 	 	25.3	15.6	73	 	55	북북동	2.9	1023.7
인제	 	20 이상	 	 	25.7	13.8	72	 	48	남남동	5.8	1023.4
인천	구름많음	20 이상	7	0	26.3	11.6	72	 	40	서북서	13	1022.6
임실	 	19.9	 	 	25.1	15.6	73	 	56	서남서	3.6	1021.8
장수	 	19.4	 	 	24.2	15.4	72	 	58	북서	10.1	1021.6
장흥	 	20 이상	 	 	26.6	18.7	75	 	62	동남동	5.8	1021.5
전주	구름많음	20 이상	8	4	24.5	18.1	73	 	68	서북서	3.2	1022.1
정선군	 	17.1	 	 	25.1	14.2	72	 	51	북	3.6	1023.1
정읍	 	18.9	 	 	23.8	16.0	71	 	62	북	6.8	1022.2
제주	맑음	20 이상	2	2	27.0	20.3	76	1.0	67	동	16.2	1020.8
제천	 	20 이상	 	 	25.1	10.9	71	 	41	동북동	3.2	1023.1
진도군	 	19.5	 	 	25.6	16.4	73	 	57	동북동	10.4	1020.8
진주	 	18.8	 	 	26.5	17.0	74	 	56	남	3.2	1022.5
창원	구름조금	20 이상	3	3	28.2	18.8	77	 	57	남동	7.9	1022.1
천안	 	20 이상	 	 	23.5	15.2	71	 	60	동남동	12.2	1022.9
철원	 	20 이상	 	 	26.2	13.6	73	 	46	북북서	6.1	1023.4
